activation,hidden_layers,width,seed,L2_rel,Linf
swish,2,32,4,0.0009566306252963841,0.000939786434173584
swish,2,32,2,0.0010487550171092153,0.0012513995170593262
swish,2,32,16,0.0011401603696867824,0.001208484172821045
swish,2,32,8,0.0011495043290778995,0.0012912750244140625
swish,2,32,29,0.001339511713013053,0.0009989142417907715
swish,2,32,3,0.0011787288822233677,0.0011109709739685059
swish,2,32,21,0.0008972635841928422,0.0010920166969299316
swish,2,32,9,0.001253460068255663,0.0012088418006896973
swish,2,32,0,0.0010684346780180931,0.0012487173080444336
swish,2,32,42,0.0011035114293918014,0.0011616349220275879
swish,2,64,4,0.0008945406298153102,0.0006540417671203613
swish,2,64,2,0.0012947290670126677,0.0008161785081028938
swish,2,64,16,0.0007315498660318553,0.0005183219909667969
swish,2,64,8,0.0006413761875592172,0.0006546974182128906
swish,2,64,29,0.0006176229799166322,0.0005804896354675293
swish,2,64,3,0.0006158033502288163,0.0005701184272766113
swish,2,64,21,0.0006099703023210168,0.0006023645401000977
swish,2,64,9,0.0011396934278309345,0.0005742944777011871
swish,2,64,0,0.0007501522777602077,0.0006565451622009277
swish,2,64,42,0.0006078879814594984,0.0005409717559814453
swish,2,128,4,0.00038637753459624946,0.0002313666045665741
swish,2,128,2,0.0003856537805404514,0.0003591179847717285
swish,2,128,16,0.00029220239957794547,0.0002910494804382324
swish,2,128,8,0.001966021489351988,0.0008663227781653404
swish,2,128,29,0.0005850621964782476,0.0003283768892288208
swish,2,128,3,0.0005538397235795856,0.0003716638311743736
swish,2,128,21,0.0014677767176181078,0.0007113181054592133
swish,2,128,9,0.00035496149212121964,0.00021616928279399872
swish,2,128,0,0.00038743653567507863,0.0003363490104675293
swish,2,128,42,0.0010997392237186432,0.000646516215056181
swish,3,32,4,0.00044916089973412454,0.0002736290916800499
swish,3,32,2,0.0003777746460400522,0.00027310848236083984
swish,3,32,16,0.0006067429203540087,0.00033230893313884735
swish,3,32,8,0.00041213937220163643,0.00030612945556640625
swish,3,32,29,0.0005666951183229685,0.0002644658088684082
swish,3,32,3,0.00047444741358049214,0.00030547380447387695
swish,3,32,21,0.0007579877274110913,0.0004370361566543579
swish,3,32,9,0.000883794273249805,0.00048477016389369965
swish,3,32,0,0.00046769625623710454,0.00046761613339185715
swish,3,32,42,0.0006225038669072092,0.00039487332105636597
swish,3,64,4,0.001363989314995706,0.0006027761846780777
swish,3,64,2,0.0004486292600631714,0.00021199509501457214
swish,3,64,16,0.00015208795957732946,0.00013256072998046875
swish,3,64,8,0.0004183925047982484,0.0002471506595611572
swish,3,64,29,0.0012115719728171825,0.0006668446585536003
swish,3,64,3,0.0005019071977585554,0.00022199749946594238
swish,3,64,21,0.0009978371672332287,0.0004975362680852413
swish,3,64,9,0.00105676322709769,0.0004986608400940895
swish,3,64,0,0.0002217470610048622,0.0001620650291442871
swish,3,64,42,0.00194830063264817,0.0009996839798986912
swish,3,128,4,0.002462984062731266,0.001176140271127224
swish,3,128,2,0.0006190526764839888,0.0003268904983997345
swish,3,128,16,0.0007840408361516893,0.00035717617720365524
swish,3,128,8,0.0015288417926058173,0.0007250867784023285
swish,3,128,29,0.0022707064636051655,0.001029863953590393
swish,3,128,3,0.0004657028475776315,0.00026156986132264137
swish,3,128,21,0.0004827840602956712,0.00028962455689907074
swish,3,128,9,0.0030322237871587276,0.0012303506955504417
swish,3,128,0,0.00015833161887712777,0.00011091586202383041
swish,3,128,42,0.001776406541466713,0.0010156426578760147
swish,4,32,4,0.00045221601612865925,0.0002666870132088661
swish,4,32,2,0.0006313806516118348,0.0004283781163394451
swish,4,32,16,0.00036495213862508535,0.00027242861688137054
swish,4,32,8,0.002200020942837,0.0009455205872654915
swish,4,32,29,0.0013686915626749396,0.0006525469943881035
swish,4,32,3,0.0003753880737349391,0.00022786855697631836
swish,4,32,21,0.0010681188432499766,0.0005442462861537933
swish,4,32,9,0.0006791165797039866,0.00046221446245908737
swish,4,32,0,0.0007112933089956641,0.0004510963335633278
swish,4,32,42,0.0007265510503202677,0.0005421163514256477
swish,4,64,4,0.0006391450297087431,0.00031495094299316406
swish,4,64,2,0.0007300046854652464,0.00035423366352915764
swish,4,64,16,0.0016494442243129015,0.00088479183614254
swish,4,64,8,0.0004128997097723186,0.00031039584428071976
swish,4,64,29,0.001567415427416563,0.0008534654043614864
swish,4,64,3,0.00024063672753982246,0.00013671442866325378
swish,4,64,21,0.0009000367717817426,0.0005814186297357082
swish,4,64,9,0.004822488874197006,0.002138481941074133
swish,4,64,0,0.0005996005493216217,0.00037755444645881653
swish,4,64,42,0.001155651523731649,0.0006374763324856758
swish,4,128,4,0.0004478119662962854,0.00020964443683624268
swish,4,128,2,0.0011587426997721195,0.0006436272524297237
swish,4,128,16,0.00014146111789159477,7.650256156921387e-05
swish,4,128,8,0.00028480615583248436,0.0002023647539317608
swish,4,128,29,0.000843656831420958,0.00042712967842817307
swish,4,128,3,0.0006357465754263103,0.00032208580523729324
swish,4,128,21,0.0002858973457477987,0.00020438991487026215
swish,4,128,9,0.0011840718798339367,0.0006023794412612915
swish,4,128,0,0.0003441925218794495,0.0001592421904206276
swish,4,128,42,0.002692264039069414,0.0017018686048686504
